review,fake
"This laptop is amazing! Super fast and smooth.",0
"Worst experience ever. The phone stopped working in a week.",0
"Wow! I love this camera. Must buy! 😍",0
"Best perfume ever! Ordered 5 times already!",1
"Horrible quality. Do not buy this bag!",0
"Great deal! Great product! Great seller!",1
"Delivered on time, product as described. Will buy again.",0
"Fake product, cheap quality, not recommended.",0
"Amazing phone, super fast and smooth performance!",0
"Superb! Excellent! Must buy! 5 stars!",1
"Decent product. Not the best, not the worst.",0
"Loved this tablet. Battery backup is superb!",0
"Worst customer service ever. No response from the seller.",0
"Highly recommended! Such a good product at this price.",1
"It's okay, but expected better quality.",0
"Great packaging, received without any damage.",0
"Avoid this seller. Fake reviews everywhere!",1
"Fantastic earphones! Noise cancellation is top-notch.",0
"I received a defective product. Waste of money!",0
"Best purchase I've made. Totally worth it!",1
"Average quality, works fine for the price.",0
"Perfect for gifting. My friend loved it!",1
"The material feels cheap, not as expected.",0
"Too good to be true. Feels like a fake review.",1
